Websites,DP11 (Cookie Info Display ),,DP12 (PurposeInfoDisplay,,DP13 (OptOutPricing),,DP14 (ConsentRevocationPossible),,DP15 (RevocationHard),,DP17 (LegalAmbiguity),,"DP19 (Multi-Click Opt-Out)
",
,Human Labled,UMBRA,Human Labled,UMBRA,Human Labled,UMBRA,Human Labled,UMBRA,Human Labled,UMBRA,Human Labled,UMBRA,Human Labled,UMBRA
adblockplus.org,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
asus.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
bankofengland.co.uk,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
belfasttelegraph.co.uk,T,T,F,F,F,F,F,F,T,T,F,F,F,F
bz-berlin.de,T,T,F,F,T,T,F,F,T,T,F,F,F,F
checkpoint.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
clara.es,T,T,F,F,T,T,F,F,T,F,F,F,F,F
cookielaw.org,F,F,F,F,F,F,F,F,T,T,T,T,F,F
cope.es,T,T,F,F,F,F,F,F,T,F,T,T,F,F
crashlytics.com,T,T,F,F,F,F,T,T,N/A,N/A,T,T,F,T
data.gov.uk,T,T,F,F,F,F,F,T,T,N/A,F,F,F,F
destatis.de,T,T,F,F,F,F,F,F,F,F,F,F,F,F
doctissimo.fr,T,T,F,F,F,F,F,F,T,T,F,T,F,F
edf.fr,T,T,F,F,F,F,F,F,T,T,F,T,F,F
england.nhs.uk,F,F,F,F,F,F,F,F,T,T,F,F,F,F
fca.org.uk,T,T,F,F,F,F,T,T,N/A,N/A,F,F,F,F
force.com,T,T,F,F,F,F,T,T,N/A,N/A,F,F,T,T
fotocasa.es,T,T,F,T,F,F,F,F,T,F,T,T,F,F
g.pl,T,T,F,F,F,F,F,F,F,F,F,T,T,T
garmin.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
gifi.fr,T,T,F,T,F,F,F,F,N/A,N/A,F,F,F,F
gq-magazine.co.uk,T,T,T,T,F,F,F,F,T,T,T,T,F,F
hicloud.com,T,T,F,F,F,F,F,F,T,T,F,F,F,F
